sub_id,name,lat,lon,zone,state,sector,twh
35000,NEAH BAY,48.2414,-124.578,BPAT,WA,bldg,0.043192
35000,NEAH BAY,48.2414,-124.578,BPAT,WA,ind,0.011885
35000,NEAH BAY,48.2414,-124.578,BPAT,WA,road,0.000375
35001,FORKS,47.6956,-124.184,BPAT,WA,bldg,0.071598
35001,FORKS,47.6956,-124.184,BPAT,WA,ind,0.019702
35001,FORKS,47.6956,-124.184,BPAT,WA,road,0.000621
35002,OCEAN SHORES,47.04,-124.057,BPAT,WA,bldg,0.064474
35002,OCEAN SHORES,47.04,-124.057,BPAT,WA,ind,0.017742
35002,OCEAN SHORES,47.04,-124.057,BPAT,WA,road,0.00056
35003,WESTPORT,46.9275,-124.172,BPAT,WA,bldg,0.046821
35003,WESTPORT,46.9275,-124.172,BPAT,WA,ind,0.012884
35003,WESTPORT,46.9275,-124.172,BPAT,WA,road,0.000406
35004,LONG BEACH 1,46.3165,-124.061,BPAT,WA,bldg,0.060217
35004,LONG BEACH 1,46.3165,-124.061,BPAT,WA,ind,0.01657
35004,LONG BEACH 1,46.3165,-124.061,BPAT,WA,road,0.000523
35005,OCEAN PARK,46.4983,-123.983,BPAT,WA,bldg,0.075361
35005,OCEAN PARK,46.4983,-123.983,BPAT,WA,ind,0.020737
35005,OCEAN PARK,46.4983,-123.983,BPAT,WA,road,0.000654
35006,HOQUIAM,47.1743,-123.847,BPAT,WA,bldg,0.15005
35006,HOQUIAM,47.1743,-123.847,BPAT,WA,ind,0.04129
35006,HOQUIAM,47.1743,-123.847,BPAT,WA,road,0.001302
35007,PORT ANGELES 1,48.0025,-123.762,BPAT,WA,bldg,0.143464
35007,PORT ANGELES 1,48.0025,-123.762,BPAT,WA,ind,0.039477
35007,PORT ANGELES 1,48.0025,-123.762,BPAT,WA,road,0.001245
35008,ABERDEEN 1,47.165,-123.664,BPAT,WA,bldg,0.258925
35008,ABERDEEN 1,47.165,-123.664,BPAT,WA,ind,0.07125
35008,ABERDEEN 1,47.165,-123.664,BPAT,WA,road,0.002247
35009,MONTESANO,47.1889,-123.686,BPAT,WA,bldg,0.112056
35009,MONTESANO,47.1889,-123.686,BPAT,WA,ind,0.030835
35009,MONTESANO,47.1889,-123.686,BPAT,WA,road,0.000973
35010,RAYMOND,46.656,-123.615,BPAT,WA,bldg,0.115999
35010,RAYMOND,46.656,-123.615,BPAT,WA,ind,0.03192
35010,RAYMOND,46.656,-123.615,BPAT,WA,road,0.001007
35011,ELMA 1,47.0719,-123.294,BPAT,WA,bldg,0.109637
35011,ELMA 1,47.0719,-123.294,BPAT,WA,ind,0.030169
35011,ELMA 1,47.0719,-123.294,BPAT,WA,road,0.000952
35012,PORT ANGELES 2,47.988,-123.332,BPAT,WA,bldg,0.239032
35012,PORT ANGELES 2,47.988,-123.332,BPAT,WA,ind,0.065775
35012,PORT ANGELES 2,47.988,-123.332,BPAT,WA,road,0.002075
35013,CATHLAMET,46.1904,-123.332,BPAT,WA,bldg,0.040279
35013,CATHLAMET,46.1904,-123.332,BPAT,WA,ind,0.011084
35013,CATHLAMET,46.1904,-123.332,BPAT,WA,road,0.00035
35014,SHELTON 1,47.1504,-123.13,BPAT,WA,bldg,0.215913
35014,SHELTON 1,47.1504,-123.13,BPAT,WA,ind,0.059414
35014,SHELTON 1,47.1504,-123.13,BPAT,WA,road,0.001874
35015,SHELTON 2,47.1479,-123.072,BPAT,WA,bldg,0.196961
35015,SHELTON 2,47.1479,-123.072,BPAT,WA,ind,0.054198
35015,SHELTON 2,47.1479,-123.072,BPAT,WA,road,0.00171
35016,ROCHESTER,46.7918,-123.042,PSEI,WA,bldg,0.130263
35016,ROCHESTER,46.7918,-123.042,PSEI,WA,ind,0.023678
35016,ROCHESTER,46.7918,-123.042,PSEI,WA,rail,0.000381
35016,ROCHESTER,46.7918,-123.042,PSEI,WA,road,0.001879
35017,FRIDAY HARBOR,48.6268,-123.038,BPAT,WA,bldg,0.08356
